ts,coin_id,signal,price,stop,target,rr,expected_return_pct,ema200,rsi14,atr14
2025-10-23 23:00:00+02:00,ZECUSDT,SHORT,233.56,245.402606,215.796091,1.5,7.61,241.526173,42.04,7.895071
2025-10-23 23:00:00+02:00,WALUSDT,LONG,0.2512,0.238291,0.270563,1.5,7.71,0.240674,52.63,0.008606
2025-10-23 23:00:00+02:00,AVNTUSDT,LONG,0.6559,0.620695,0.708707,1.5,8.05,0.616712,50.83,0.02347
2025-10-24 00:00:00+02:00,WALUSDT,LONG,0.2505,0.238423,0.268615,1.5,7.23,0.240766,51.95,0.008051
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,235.85,246.994563,219.133156,1.5,7.09,241.491455,44.57,7.429708
2025-10-24 00:00:00+02:00,WALUSDT,LONG,0.2518,0.239562,0.270156,1.5,7.29,0.240779,53.15,0.008158
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,239.98,251.629205,222.506192,1.5,7.28,241.532549,48.9,7.766137
2025-10-24 00:00:00+02:00,AVNTUSDT,LONG,0.6575,0.623862,0.707956,1.5,7.67,0.617112,51.39,0.022425
2025-10-24 00:00:00+02:00,WALUSDT,LONG,0.253,0.240666,0.271501,1.5,7.31,0.240791,54.2,0.008223
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,236.97,248.619205,219.496192,1.5,7.37,241.502599,45.81,7.766137
2025-10-24 00:00:00+02:00,AVNTUSDT,LONG,0.6572,0.623562,0.707656,1.5,7.68,0.617109,51.28,0.022425
2025-10-24 00:00:00+02:00,WALUSDT,LONG,0.2536,0.241148,0.272278,1.5,7.37,0.240797,54.71,0.008301
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,238.49,250.139205,221.016192,1.5,7.33,241.517723,47.42,7.766137
2025-10-24 00:00:00+02:00,AVNTUSDT,LONG,0.6552,0.621445,0.705833,1.5,7.73,0.617089,50.59,0.022504
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,239.04,250.689205,221.566192,1.5,7.31,241.523196,47.97,7.766137
2025-10-24 00:00:00+02:00,ZECUSDT,SHORT,238.17,249.819205,220.696192,1.5,7.34,241.514539,47.09,7.766137
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6541,0.622129,0.702057,1.5,7.33,0.617425,50.25,0.021314
2025-10-24 01:00:00+02:00,WALUSDT,LONG,0.2504,0.23851,0.268235,1.5,7.12,0.240868,51.76,0.007927
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6605,0.627832,0.709501,1.5,7.42,0.617489,52.48,0.021778
2025-10-24 01:00:00+02:00,WALUSDT,LONG,0.2506,0.238689,0.268467,1.5,7.13,0.24087,51.98,0.007941
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6706,0.636786,0.721321,1.5,7.56,0.617589,55.62,0.022543
2025-10-24 01:00:00+02:00,ZECUSDT,LONG,243.02,231.519309,260.271036,1.5,7.1,241.53176,51.98,7.667127
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6702,0.636172,0.721242,1.5,7.62,0.617585,55.5,0.022686
2025-10-24 01:00:00+02:00,ZECUSDT,LONG,242.71,231.209309,259.961036,1.5,7.11,241.528676,51.69,7.667127
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6665,0.632472,0.717542,1.5,7.66,0.617549,54.39,0.022686
2025-10-24 01:00:00+02:00,AVNTUSDT,LONG,0.6697,0.635511,0.720984,1.5,7.66,0.61758,55.35,0.022793
2025-10-24 02:00:00+02:00,AVNTUSDT,LONG,0.6643,0.630914,0.714379,1.5,7.54,0.618091,53.02,0.022257
2025-10-24 02:00:00+02:00,YBUSDT,LONG,0.5036,0.471672,0.551493,1.5,9.51,0.486159,64.58,0.021286
2025-10-24 02:00:00+02:00,AVNTUSDT,LONG,0.676,0.642196,0.726706,1.5,7.5,0.618207,57.16,0.022536
2025-10-24 02:00:00+02:00,YBUSDT,LONG,0.5039,0.471822,0.552018,1.5,9.55,0.486162,64.66,0.021386
2025-10-24 02:00:00+02:00,ZECUSDT,LONG,249.48,237.653287,267.220069,1.5,7.11,241.616174,57.59,7.884475
2025-10-24 02:00:00+02:00,YBUSDT,LONG,0.5111,0.478347,0.56023,1.5,9.61,0.486234,66.29,0.021836
